# formulating time, preparation time (reduction chain etc), solving time ,computational time (sum of the left ones), number of iteration,  robustness
0.51165,3.48902,5.06882,9.06949,8.00000,0.33795,30.00000
0.50628,3.99781,5.69531,10.19941,9.00000,0.26140,30.00000
0.51559,3.48472,5.01731,9.01762,8.00000,0.18096,30.00000
0.47952,2.38306,3.81777,6.68035,6.00000,0.38033,30.00000
0.48158,2.92594,4.39422,7.80174,7.00000,0.32582,30.00000
0.61606,2.83232,4.67047,8.11885,6.00000,0.35556,35.00000
0.57024,4.50230,6.76411,11.83665,9.00000,0.36680,35.00000
0.59919,4.26469,6.23117,11.09505,8.00000,0.25717,35.00000
0.59706,3.68938,5.32615,9.61259,7.00000,0.25955,35.00000
0.60474,5.75622,8.64772,15.00868,11.00000,0.40215,35.00000
0.71096,5.89016,8.72282,15.32393,10.00000,0.23331,40.00000
0.65626,5.81346,8.80940,15.27912,10.00000,0.35998,40.00000
0.73675,5.33059,7.97393,14.04127,9.00000,0.44068,40.00000
0.63648,7.08425,9.74744,17.46818,11.00000,0.42825,40.00000
0.63338,4.76528,7.34765,12.74630,8.00000,0.42711,40.00000
0.71382,4.39762,7.08978,12.20122,7.00000,0.33562,45.00000
0.77261,6.95557,10.13780,17.86598,10.00000,0.37785,45.00000
0.75261,5.37290,8.40570,14.53122,8.00000,0.36020,45.00000
0.77045,5.75504,8.91222,15.43771,9.00000,0.43670,45.00000
0.70866,5.06459,8.06172,13.83497,8.00000,0.44134,45.00000
0.78551,8.51565,12.27952,21.58068,11.00000,0.39174,50.00000
0.78557,4.17936,6.77472,11.73965,6.00000,0.47880,50.00000
0.78754,8.01326,11.97589,20.77668,11.00000,0.35614,50.00000
0.78550,7.57766,11.63630,19.99946,10.00000,0.47170,50.00000
0.85988,4.31666,7.27231,12.44885,6.00000,0.49607,50.00000
0.93169,5.72847,9.29124,15.95140,7.00000,0.00618,55.00000
0.86706,4.57552,7.49203,12.93460,6.00000,0.47777,55.00000
0.86301,6.30126,9.81172,16.97600,8.00000,0.37956,55.00000
0.86445,4.55823,7.57056,12.99324,6.00000,0.50000,55.00000
0.86287,4.90090,7.84119,13.60495,6.00000,0.42818,55.00000
0.94301,5.00283,7.90655,13.85239,6.00000,0.50000,60.00000
0.93979,9.37220,14.53120,24.84319,10.00000,0.32870,60.00000
0.93608,5.48732,8.42933,14.85273,6.00000,0.46673,60.00000
0.93594,4.99322,8.59463,14.52379,6.00000,0.46047,60.00000
0.93837,7.18898,11.26424,19.39159,8.00000,0.34549,60.00000
1.01135,4.37657,7.82383,13.21175,5.00000,0.41175,65.00000
1.02530,3.36779,6.50901,10.90210,4.00000,0.45786,65.00000
1.01265,8.70281,13.13855,22.85401,9.00000,0.40988,65.00000
1.01332,4.60127,7.14611,12.76070,5.00000,0.45042,65.00000
1.01283,6.45640,10.58722,18.05645,7.00000,0.27221,65.00000
1.20063,12.59096,18.45071,32.24231,11.00000,0.41022,70.00000
1.09242,3.62611,6.80188,11.52041,4.00000,0.44691,70.00000
1.19884,9.29907,14.18696,24.68487,9.00000,0.42183,70.00000
1.08758,9.27427,14.28225,24.64411,9.00000,0.44290,70.00000
1.08641,8.18217,12.52691,21.79550,8.00000,0.40482,70.00000
1.17371,6.20099,10.94390,18.31859,6.00000,0.46783,75.00000
1.16426,8.08356,12.02474,21.27255,7.00000,0.43724,75.00000
1.16272,7.57252,12.76152,21.49676,7.00000,0.42311,75.00000
1.28869,8.01754,12.80338,22.10961,7.00000,0.43219,75.00000
1.19248,9.00407,13.43625,23.63280,8.00000,0.42937,75.00000
1.23451,7.90384,13.05239,22.19075,7.00000,0.32620,80.00000
1.23673,6.84675,11.40180,19.48528,6.00000,0.37125,80.00000
1.23793,9.25070,15.58933,26.07795,8.00000,0.38003,80.00000
1.38380,10.73013,17.39674,29.51067,9.00000,0.36122,80.00000
1.28356,8.27281,13.41869,22.97507,7.00000,0.43719,80.00000
1.36764,11.31720,18.54465,31.22949,9.00000,0.36958,85.00000
1.34936,5.38685,10.07086,16.80707,5.00000,0.46711,85.00000
1.33934,6.66747,11.83346,19.84027,6.00000,0.40226,85.00000
1.33779,12.40240,20.30055,34.04074,10.00000,0.41407,85.00000
1.35814,5.85641,9.91713,17.13168,5.00000,0.40136,85.00000
1.40028,4.26758,8.32384,13.99169,4.00000,0.48541,90.00000
1.39444,16.29124,24.94252,42.62819,12.00000,0.39785,90.00000
1.39864,9.35456,15.55608,26.30928,7.00000,0.47236,90.00000
1.39334,14.03692,20.45775,35.88802,10.00000,0.34773,90.00000
1.39537,4.15689,8.49811,14.05038,4.00000,0.36168,90.00000
1.52844,9.08241,14.63536,25.24621,7.00000,0.44078,95.00000
1.52930,9.24413,14.93045,25.70389,7.00000,0.42167,95.00000
1.66457,11.15894,18.68300,31.50652,8.00000,0.39027,95.00000
1.48129,7.82361,13.26712,22.57202,6.00000,0.43184,95.00000
1.48555,15.10161,23.76591,40.35308,11.00000,0.36142,95.00000
1.66663,15.04430,23.74697,40.45789,10.00000,0.37650,100.00000
1.55758,6.32372,11.38163,19.26293,5.00000,0.45552,100.00000
1.56374,9.81614,16.30352,27.68341,7.00000,0.45041,100.00000
1.56314,11.37322,18.53366,31.47002,8.00000,0.50000,100.00000
1.55465,6.50740,11.64744,19.70950,5.00000,0.42752,100.00000
1.67452,15.24801,24.38621,41.30874,10.00000,0.45471,105.00000
1.63785,6.51585,12.31016,20.46386,5.00000,0.41631,105.00000
1.63500,10.15786,17.56908,29.36194,7.00000,0.41728,105.00000
1.77924,11.71189,19.56881,33.05994,8.00000,0.36312,105.00000
1.63147,12.76136,20.11075,34.50358,8.00000,0.43071,105.00000
1.66525,10.70385,16.98244,29.35154,7.00000,0.44741,110.00000
1.70542,12.85042,20.94731,35.50315,8.00000,0.35101,110.00000
1.73653,14.49540,23.08482,39.31675,9.00000,0.37662,110.00000
1.70195,14.19369,22.95189,38.84753,9.00000,0.36808,110.00000
1.70602,8.76996,15.67325,26.14923,6.00000,0.43749,110.00000
1.79689,13.05311,21.37115,36.22116,8.00000,0.34284,115.00000
1.77687,15.00629,24.61352,41.39668,9.00000,0.40096,115.00000
1.80186,9.13480,16.05476,26.99142,6.00000,0.43671,115.00000
1.87745,7.18658,13.47118,22.53520,5.00000,0.39931,115.00000
1.78705,19.95732,32.30080,54.04518,12.00000,0.36071,115.00000
2.23370,18.16099,27.91136,48.30604,10.00000,0.45042,120.00000
1.93758,12.43382,20.95785,35.32924,7.00000,0.38020,120.00000
1.88463,19.36624,31.06046,52.31133,11.00000,0.37508,120.00000
1.87437,7.43127,14.40823,23.71387,5.00000,0.44363,120.00000
1.87104,13.48702,23.55287,38.91093,8.00000,0.36102,120.00000
