robustness, solve time, T
0.34651,0.86971,25.00000
-0.38632,1.89312,30.00000
0.17921,5.64519,35.00000
0.16989,5.76550,40.00000
0.35657,6.68606,45.00000
-0.09478,12.95916,50.00000
0.46389,19.03594,55.00000
0.35405,40.70054,60.00000
-0.25758,50.80962,65.00000
0.42754,46.04215,70.00000
0.34893,44.78427,75.00000
0.45267,56.22453,80.00000
0.35251,65.00271,85.00000
0.36430,97.45843,90.00000
0.35532,162.50395,95.00000
0.09605,40.38931,100.00000
-0.26992,35.57935,105.00000
0.34873,129.41407,110.00000
0.35907,148.18879,115.00000
0.36450,143.44241,120.00000